Date;Integrated;Max;SD
01/06/2009;55092750;2280;822
02/06/2009;43373250;2310;673
03/06/2009;40451250;2553;685
04/06/2009;55752000;2158;808
05/06/2009;55778250;2308;802
06/06/2009;49200000;2193;718
07/06/2009;49313250;2523;715
08/06/2009;43758750;2250;693
09/06/2009;50147250;2178;739
10/06/2009;48658500;2310;731
11/06/2009;38108250;2485;694
12/06/2009;56562000;2260;805
13/06/2009;54175500;2120;773
14/06/2009;48410250;2030;706
15/06/2009;44772000;2163;667
16/06/2009;22782000;2050;452
17/06/2009;45230250;2403;710
18/06/2009;57042000;2158;788
19/06/2009;47332500;2388;689
20/06/2009;56934750;2285;802
21/06/2009;57543000;2253;811
22/06/2009;56106750;2290;807
23/06/2009;50814000;2243;744
24/06/2009;54406500;2228;770
25/06/2009;51537000;2170;759
26/06/2009;51189750;2075;744
27/06/2009;46714500;2063;687
28/06/2009;50288250;2090;723
29/06/2009;43140000;2128;674
30/06/2009;56029500;2290;802
01/07/2009;50664000;2155;727
02/07/2009;54793500;2250;786
03/07/2009;55387500;2255;800
04/07/2009;46446750;2018;675
05/07/2009;28301250;2265;506
06/07/2009;35465250;2135;589
07/07/2009;49950000;2103;740
08/07/2009;54823500;2270;800
09/07/2009;51174000;2203;745
10/07/2009;52715250;2145;731
11/07/2009;49261500;2108;735
12/07/2009;51466500;2208;758
13/07/2009;49835250;2180;740
14/07/2009;53832750;2173;785
15/07/2009;53688000;2015;762
16/07/2009;49911000;2045;722
17/07/2009;52089750;2203;755
18/07/2009;45194250;2213;691
19/07/2009;41202000;2375;690
20/07/2009;50348250;2195;737
21/07/2009;28569000;1788;461
22/07/2009;45505500;2205;694
23/07/2009;49959750;1985;734
24/07/2009;46994250;2100;705
25/07/2009;53417250;2215;765
26/07/2009;44787000;2218;653
27/07/2009;52007250;2048;749
28/07/2009;45007500;2108;662
29/07/2009;54860250;2200;771
30/07/2009;55824750;2060;795
31/07/2009;45023250;2178;694
01/08/2009;55272000;2235;794
02/08/2009;53135250;2178;765
03/08/2009;50685750;2520;750
04/08/2009;52186500;2270;767
05/08/2009;54451500;2285;774
06/08/2009;2248500;587,5;196,5192804
07/08/2009;52374000;2092,5;791,4517179
08/08/2009;55764750;2405;836,5745306
09/08/2009;54903750;2327,5;835,2874406
10/08/2009;50389500;2155;780,6718108
11/08/2009;49524750;2300;762,3772472
12/08/2009;47837250;2292,5;733,9194054
13/08/2009;55625250;2050;811,9398863
14/08/2009;53909250;2362,5;834,799026
15/08/2009;50811750;2295;802,3113434
16/08/2009;29418000;1730;521,284959
17/08/2009;53080500;2162,5;791,6374138
18/08/2009;49308000;2265;765,975239
19/08/2009;30576750;1985;493,8773505
20/08/2009;53076000;2215;810,0293879
21/08/2009;47146500;2202,5;701,8277286
22/08/2009;41851500;2015;655,3198313
23/08/2009;48901500;2155;772,5867477
24/08/2009;40266000;2187,5;740,7097963
25/08/2009;48057750;2302,5;773,7569519
26/08/2009;51355500;2272,5;791,5149836
27/08/2009;54186750;2247,5;843,0847265
28/08/2009;54661500;2340;828,7944088
29/08/2009;49902000;2275;798,1220742
30/08/2009;48438000;2352,5;775,7039786
31/08/2009;52763250;2237,5;775,5235423
01/09/2009;50018250;2235;763,5873429
02/09/2009;40164750;2110;634,9826536
03/09/2009;18312750;1852,5;388,2644449
04/09/2009;9441750;520;157,5339155
05/09/2009;43505250;2552,5;768,931472
06/09/2009;50388000;2142,5;763,9414729
07/09/2009;49236750;2155;769,5736403
08/09/2009;42635250;2237,5;683,6997452
09/09/2009;51097500;2152,5;783,368465
10/09/2009;53305500;2177,5;822,3598925
11/09/2009;52443000;2185;799,8568222
12/09/2009;53089500;2182,5;809,9274734
13/09/2009;50496000;2262,5;795,8282811
14/09/2009;53448750;2257,5;821,4746052
