Date;site;transect;quadrat;percentCover_allCoral;percentCover_macroalgae;percentCover_CTB
01/06/1993;Tektite;3;T3Q9;37.6;3;26
01/06/1993;Tektite;3;T3Q10;37.1;4.5;15.5
01/08/1994;Tektite;1;T1Q1;22.6;3.7;12.5
01/08/1994;Tektite;1;T1Q2;4.2;36.5;0
01/08/1994;Tektite;1;T1Q3;8.4;30.4;1.6
01/08/1994;Tektite;1;T1Q4;12.6;16.8;19.5
01/08/1994;Tektite;1;T1Q5;50.5;3.7;25.3
01/08/1994;Tektite;1;T1Q6;34.5;2;28.5
01/08/1994;Tektite;1;T1Q7;34.5;3.2;40.7
01/08/1994;Tektite;1;T1Q8;42.5;4.7;13.5
01/08/1994;Tektite;1;T1Q9;44;5.5;14
01/08/1994;Tektite;1;T1Q10;52.5;2;11.5
01/08/1994;Tektite;2;T2Q1;23.5;32;11
01/08/1994;Tektite;2;T2Q2;17;16.5;8.5
01/08/1994;Tektite;2;T2Q3;23;6.5;13
01/08/1994;Tektite;2;T2Q4;41;16;9
01/08/1994;Tektite;2;T2Q5;71.1;5.8;3.2
01/08/1994;Tektite;2;T2Q6;60.5;3.5;7.5
01/08/1994;Tektite;2;T2Q7;64;3;4.5
01/08/1994;Tektite;2;T2Q8;64;2;2.5
01/08/1994;Tektite;2;T2Q9;56;4.5;11
01/08/1994;Tektite;2;T2Q10;44.5;9;3.5
01/08/1994;Tektite;3;T3Q1;36;6.5;22
01/08/1994;Tektite;3;T3Q2;60.5;5.5;8
01/08/1994;Tektite;3;T3Q3;42;7.5;6
01/08/1994;Tektite;3;T3Q4;20;16;15.5
01/08/1994;Tektite;3;T3Q5;34;9.5;17.5
01/08/1994;Tektite;3;T3Q6;39;17;8.5
01/08/1994;Tektite;3;T3Q7;46.5;17.5;3
01/08/1994;Tektite;3;T3Q8;57.5;6;3.5
01/08/1994;Tektite;3;T3Q9;47;7;15.5
01/08/1994;Tektite;3;T3Q10;41.5;1;19
01/05/1995;Tektite;1;T1Q1;29;13;21
01/05/1995;Tektite;1;T1Q2;14;30;20.5
01/05/1995;Tektite;1;T1Q3;26;14.5;11.5
01/05/1995;Tektite;1;T1Q4;16.5;20;26.5
01/05/1995;Tektite;1;T1Q5;45;5;14
01/05/1995;Tektite;1;T1Q6;39;7;8.5
01/05/1995;Tektite;1;T1Q7;42;3;15.5
01/05/1995;Tektite;1;T1Q8;31;4.5;8
01/05/1995;Tektite;1;T1Q9;29;5.5;5
01/05/1995;Tektite;1;T1Q10;49.5;5;11
01/05/1995;Tektite;2;T2Q1;26;16.5;24
01/05/1995;Tektite;2;T2Q2;24;13;13
01/05/1995;Tektite;2;T2Q3;37;4;25.5
01/05/1995;Tektite;2;T2Q4;41.5;9.5;16.5
01/05/1995;Tektite;2;T2Q5;56;0.5;2.5
01/05/1995;Tektite;2;T2Q6;45;1.5;8
01/05/1995;Tektite;2;T2Q7;66.5;0;11
01/05/1995;Tektite;2;T2Q8;57.5;0;61.5
01/05/1995;Tektite;2;T2Q9;47.5;7.5;6.5
01/05/1995;Tektite;2;T2Q10;49.5;7;5
01/05/1995;Tektite;3;T3Q1;30;5.5;16.5
01/05/1995;Tektite;3;T3Q2;48;5;10
01/05/1995;Tektite;3;T3Q3;34.5;0.5;17
01/05/1995;Tektite;3;T3Q4;38;10;8.5
01/05/1995;Tektite;3;T3Q5;34;2;19.5
01/05/1995;Tektite;3;T3Q6;47.5;0.5;14.5
01/05/1995;Tektite;3;T3Q7;43.5;14;3
01/05/1995;Tektite;3;T3Q8;41;1.5;8
01/05/1995;Tektite;3;T3Q9;39.5;4.5;16.5
01/05/1995;Tektite;3;T3Q10;38;11.5;13
01/05/1996;Tektite;1;T1Q1;38.5;10.2;18.7
01/05/1996;Tektite;1;T1Q2;9.7;35;18.8
01/05/1996;Tektite;1;T1Q3;16.9;26.8;20.8
01/05/1996;Tektite;1;T1Q4;10.9;31.6;8.7
01/05/1996;Tektite;1;T1Q5;42.2;10.3;8.1
