Date;Site;Type;Mean;Sd
2010;Tektite;Macroalgae;26.1466666666667;12.0165326725834
2010;Tektite;Scleractinian;28.0333333333333;9.06825966397816
2010;Yawzi;CTB;26.8433333333333;16.2615621112749
2010;Yawzi;Macroalgae;46.6533333333333;13.0777972766516
2010;Yawzi;Scleractinian;8.4;9.24326408983768
2011;Tektite;CTB;40.92;8.99756288841787
2011;Tektite;Macroalgae;27.6266666666667;6.50559087582966
2011;Tektite;Scleractinian;28.5466666666667;11.0513139594297
2011;Yawzi;CTB;44.24;11.1644015544482
2011;Yawzi;Macroalgae;37.7866666666667;13.0160042953316
2011;Yawzi;Scleractinian;6.74333333333333;9.03406134403659
2012;Tektite;CTB;25.0433333333333;13.504959072142
2012;Tektite;Macroalgae;35.8033333333333;7.47845103514474
2012;Tektite;Scleractinian;33.7833333333333;11.6658086712419
2012;Yawzi;CTB;43.6566666666667;16.2493646206463
2012;Yawzi;Macroalgae;42.8433333333333;13.7144445204954
2012;Yawzi;Scleractinian;7.12666666666667;9.10516841986039
2013;Tektite;CTB;37.6333333333333;9.33308291946499
2013;Tektite;Macroalgae;29.93;7.5468719256437
2013;Tektite;Scleractinian;28.3066666666667;9.53400206640941
2013;Yawzi;CTB;53.0166666666667;14.490355492494
2013;Yawzi;Macroalgae;32.8766666666667;12.2355244052417
2013;Yawzi;Scleractinian;5.63333333333333;7.45313326073664
2014;Tektite;CTB;31.2966666666667;7.45813526353575
2014;Tektite;Macroalgae;32.1566666666667;6.2788469913058
2014;Tektite;Scleractinian;27.6066666666667;8.80140793334768
2015;Tektite;CTB;21.81;8.52243894183123
2015;Tektite;Macroalgae;42.96;7.98747295068541
2015;Tektite;Scleractinian;28.3766666666667;8.92677813189574
2016;Tektite;CTB;56.7166666666667;11.7803777040711
2016;Tektite;Macroalgae;7.51;4.51742602939268
2016;Tektite;Scleractinian;30.02;10.6242533206193
2017;Tektite;CTB;17.3616666666667;8.79007706463714
2017;Tektite;Macroalgae;46.9183333333333;10.0036178483835
2017;Tektite;Scleractinian;29.2216666666667;10.1928704173374
2017;Yawzi;CTB;32.9283333333333;12.9358402617239
2017;Yawzi;Macroalgae;47.5416666666667;16.5747744997485
2017;Yawzi;Scleractinian;5.66666666666667;9.02369135385943
2018;Tektite;CTB;45.19;9.13811079849206
2018;Tektite;Macroalgae;24.5133333333333;6.23072107042766
2018;Tektite;Scleractinian;26.8433333333333;8.08999737152395
2018;Yawzi;CTB;56.49;14.2877654438793
2018;Yawzi;Macroalgae;32.49;13.810499504063
2018;Yawzi;Scleractinian;4.45666666666667;7.77053157252065
2019;Tektite;CTB;12.8266666666667;5.16386204931617
2019;Tektite;Macroalgae;49.7233333333333;7.95542249829868
2019;Tektite;Scleractinian;30.2566666666667;9.13468884143762
2019;Yawzi;CTB;36.7341666666667;16.4285900407884
2019;Yawzi;Macroalgae;42.8191666666667;19.4190251329681
2019;Yawzi;Scleractinian;5.6075;8.4065916763838
2020;Tektite;CTB;28.51;7.39684695174817
2020;Tektite;Macroalgae;37.32;7.4825498143439
2020;Tektite;Scleractinian;25.88;6.86341626004286
2020;Yawzi;CTB;42.8566666666667;8.7180622385598
2020;Yawzi;Macroalgae;36.02;12.2430951687204
2020;Yawzi;Scleractinian;3.50333333333333;5.44961139603698
